cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
32627,1,5341346639803,5341346639832,5341346639863,5341346872040,5341346872062,226794,60,226794,22,226876,2112000000
182,0,5341346896912,5341346897478,5341346897511,5341348781387,5341348781524,1605913,599,1605913,137,1606649,2112000000
182,0,5341348795198,5341348795239,5341348795256,5341350322738,5341350322764,1307577,58,1307577,26,1307661,2112000000
190,0,5277917380946,5277917381123,5277917381253,5341379748361,5341379748373,0,307,63462367108,12,63462367427,2112000000
189,0,5277917381414,5277917381575,5277917382604,5341379777617,5341379777627,0,1190,63462395013,10,63462396213,2112000000
188,0,5277917382667,5277917382844,5277917384109,5341379786780,5341379786949,0,1442,63462402671,169,63462404282,2112000000
187,0,5277917384170,5277917384333,5277917385417,5341379794470,5341379794626,0,1247,63462409053,156,63462410456,2112000000
186,0,5277917385484,5277917385641,5277917386808,5341379801338,5341379801495,0,1324,63462414530,157,63462416011,2112000000
185,0,5277917386875,5277917387020,5277917388041,5341379808843,5341379808992,0,1166,63462420802,149,63462422117,2112000000
184,0,5277917388100,5277917388242,5277917389405,5341379815922,5341379816105,0,1305,63462426517,183,63462428005,2112000000
183,0,5277917389475,5277917389615,5277917390729,5341379823363,5341379823373,0,1254,63462432634,10,63462433898,2112000000
cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
191,0,5342692471425,5342692475341,5342692477245,5342693818375,5342693818838,93421,5820,93421,463,99704,2112000000
191,0,5342695044340,5342695044501,5342695044800,5342700997456,5342700997495,414459,460,414459,39,414958,2112000000
191,0,5342701013820,5342701013903,5342701013952,5342701106926,5342701106965,6774,132,6774,39,6945,2112000000
191,0,5342701119513,5342701119568,5342701119593,5342701703373,5342701703406,40638,80,40638,33,40751,2112000000
191,0,5342701714835,5342701714880,5342701714927,5342701804728,5342701804760,6489,92,6489,32,6613,2112000000
182,0,5342746587072,5342746587168,5342746587229,5342748093109,5342748093147,106285,157,106285,38,106480,2112000000
32625,1,5406108108584,5406108108615,5406108108643,5406108189681,5406108189705,32430,59,32430,24,32513,2112000000
32613,1,5406108110423,5406108110454,5406108110476,5406108256634,5406108256671,98596,53,98596,37,98686,2112000000
32629,1,5406108112145,5406108112175,5406108112204,5406108267919,5406108267943,108701,59,108701,24,108784,2112000000
32607,1,5406108113422,5406108113451,5406108113475,5406108276652,5406108276815,116638,53,116638,163,116854,2112000000
32639,1,5406108115046,5406108115074,5406108115096,5406108284826,5406108284849,123863,50,123863,23,123936,2112000000
32637,1,5406108116803,5406108116834,5406108116856,5406108292899,5406108292936,131130,53,131130,37,131220,2112000000
32624,1,5406108118614,5406108118645,5406108118667,5406108300836,5406108300866,138242,53,138242,30,138325,2112000000
32609,1,5406108120020,5406108120048,5406108120081,5406108308792,5406108308815,145255,61,145255,23,145339,2112000000
32627,1,5406108121696,5406108121735,5406108121753,5406108316549,5406108316582,152219,57,152219,33,152309,2112000000
32610,1,5406108123365,5406108123391,5406108123418,5406108324349,5406108324382,159165,53,159165,33,159251,2112000000
32619,1,5406108126685,5406108126716,5406108126746,5406108332287,5406108332314,165446,61,165446,27,165534,2112000000
32616,1,5406108128384,5406108128413,5406108128435,5406108341421,5406108341452,173785,51,173785,31,173867,2112000000
32623,1,5406108129857,5406108129898,5406108129916,5406108349783,5406108349930,181330,59,181330,147,181536,2112000000
32635,1,5406108155189,5406108155228,5406108155248,5406108360957,5406108360979,186286,59,186286,22,186367,2112000000
32617,1,5406108163877,5406108163906,5406108163928,5406108389561,5406108389597,212423,51,212423,36,212510,2112000000
32632,1,5406108085052,5406108085083,5406108085109,5406108397666,5406108397699,252936,57,252936,33,253026,2112000000
32618,1,5406108167169,5406108167200,5406108167222,5406108406277,5406108406309,227482,53,227482,32,227567,2112000000
32611,1,5406108168821,5406108168850,5406108168880,5406108413989,5406108414023,234364,59,234364,34,234457,2112000000
32626,1,5406108170512,5406108170543,5406108170563,5406108422687,5406108422718,242240,51,242240,31,242322,2112000000
32638,1,5406108172158,5406108172213,5406108172231,5406108431031,5406108431071,249775,73,249775,40,249888,2112000000
32622,1,5406108173822,5406108173877,5406108173898,5406108439303,5406108439332,257203,76,257203,29,257308,2112000000
32615,1,5406108175493,5406108175521,5406108175546,5406108447871,5406108447895,264933,53,264933,24,265010,2112000000
32612,1,5406108177163,5406108177193,5406108177222,5406108456314,5406108456341,272548,59,272548,27,272634,2112000000
32614,1,5406108178852,5406108178882,5406108178911,5406108464805,5406108464839,280244,59,280244,34,280337,2112000000
32636,1,5406108180506,5406108180536,5406108180557,5406108473114,5406108473144,287679,51,287679,30,287760,2112000000
32621,1,5406108165517,5406108165548,5406108165578,5406108487143,5406108487182,309193,61,309193,39,309293,2112000000
32620,1,5406108099018,5406108099047,5406108099069,5406108496870,5406108496908,344513,51,344513,38,344602,2112000000
32628,1,5406108182137,5406108182168,5406108182188,5406108504841,5406108504879,318579,51,318579,38,318668,2112000000
32631,1,5406108185539,5406108185566,5406108185598,5406108513641,5406108513671,325705,59,325705,30,325794,2112000000
32633,1,5406108187159,5406108187189,5406108187220,5406108521921,5406108521976,333095,61,333095,55,333211,2112000000
32634,1,5406108125056,5406108125094,5406108125113,5406108530047,5406108530092,364069,57,364069,45,364171,2112000000
32630,1,5406108183861,5406108183893,5406108183918,5406108538548,5406108538572,351449,57,351449,24,351530,2112000000
182,0,5406108567693,5406108568009,5406108568197,5406110454878,5406110454906,1605653,504,1605653,28,1606185,2112000000
182,0,5406110470264,5406110470341,5406110470351,5406111994772,5406111994798,1312880,87,1312880,26,1312993,2112000000
190,0,5342695029915,5342695030091,5342695030201,5406141407896,5406141407906,0,286,63446377695,10,63446377991,2112000000
189,0,5342695030359,5342695030512,5342695031576,5406141442222,5406141442232,0,1217,63446410646,10,63446411873,2112000000
188,0,5342695031639,5342695031785,5342695032979,5406141450986,5406141451124,0,1340,63446418007,138,63446419485,2112000000
187,0,5342695033040,5342695033187,5342695034289,5406141458127,5406141458360,0,1249,63446423838,233,63446425320,2112000000
186,0,5342695034358,5342695034499,5342695035682,5406141465161,5406141465330,0,1324,63446429479,169,63446430972,2112000000
185,0,5342695035749,5342695035890,5342695036894,5406141472191,5406141472470,0,1145,63446435297,279,63446436721,2112000000
184,0,5342695036966,5342695037100,5342695038294,5406141479231,5406141479376,0,1328,63446440937,145,63446442410,2112000000
183,0,5342695038365,5342695038503,5342695039779,5406141486314,5406141486324,0,1414,63446446535,10,63446447959,2112000000
cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ticks,wait_ticks,completion_ticks,total_ticks,ticks_hz
191,0,5407503795824,5407503799916,5407503801729,5407505145713,5407505146188,91415,5905,91415,475,97795,2112000000
191,0,5407506396366,5407506396535,5407506396931,5407512346590,5407512346613,407734,565,407734,23,408322,2112000000
191,0,5407512363113,5407512363192,5407512363218,5407512455979,5407512456003,6722,105,6722,24,6851,2112000000
191,0,5407512470244,5407512470316,5407512470344,5407513056805,5407513056832,41685,100,41685,27,41812,2112000000
191,0,5407513068740,5407513068787,5407513068840,5407513158146,5407513158172,6517,100,6517,26,6643,2112000000
182,0,5407570563082,5407570563186,5407570563300,5407572070901,5407572070946,102794,218,102794,45,103057,2112000000
32634,1,5470931988637,5470931988666,5470931988688,5470932216545,5470932216590,80418,51,80418,45,80514,2112000000
32623,1,5470932076947,5470932076991,5470932077014,5470932278096,5470932278118,107162,67,107162,22,107251,2112000000
32631,1,5470932078625,5470932078654,5470932078678,5470932289167,5470932289192,117392,53,117392,25,117470,2112000000
32607,1,5470932080454,5470932080483,5470932080507,5470932296886,5470932296928,124253,53,124253,42,124348,2112000000
32628,1,5470932081943,5470932081974,5470932082001,5470932303862,5470932303887,130484,58,130484,25,130567,2112000000
32615,1,5470932042268,5470932042297,5470932042325,5470932315376,5470932315400,160215,57,160215,24,160296,2112000000
32624,1,5470932003568,5470932003597,5470932003619,5470932369985,5470932370017,226468,51,226468,32,226551,2112000000
32618,1,5470931995204,5470931995233,5470931995263,5470932377287,5470932377310,237844,59,237844,23,237926,2112000000
32638,1,5470932083589,5470932083642,5470932083665,5470932384769,5470932384808,210574,76,210574,39,210689,2112000000
32622,1,5470932085248,5470932085309,5470932085329,5470932392465,5470932392488,217422,81,217422,23,217526,2112000000
